127.0.0.1 - - [14/Nov/2020:20:57:57 -0500] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [14/Nov/2020:20:58:02 -0500] "GET /Study_mvc/ HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [14/Nov/2020:20:58:02 -0500] "GET /Study_mvc/img/pic.jpg HTTP/1.1" 200 126072
0:0:0:0:0:0:0:1 - - [14/Nov/2020:21:13:17 -0500] "GET /Study_mvc/ HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [14/Nov/2020:21:13:18 -0500] "GET /Study_mvc/img/pic.jpg HTTP/1.1" 200 126072
0:0:0:0:0:0:0:1 - - [14/Nov/2020:21:13:18 -0500] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [14/Nov/2020:21:13:22 -0500] "GET /Study_mvc/psignups HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [14/Nov/2020:21:13:22 -0500] "GET /Study_mvc/img/delete.png HTTP/1.1" 200 10446
0:0:0:0:0:0:0:1 - - [14/Nov/2020:21:13:26 -0500] "GET /Study_mvc/auth HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [14/Nov/2020:21:13:28 -0500] "GET /Study_mvc/signup HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [14/Nov/2020:21:14:01 -0500] "POST /Study_mvc/signup HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [14/Nov/2020:21:14:05 -0500] "GET /Study_mvc/psignups HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:19:47 -0500] "GET /Study_mvc/auth HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:19:49 -0500] "POST /Study_mvc/auth HTTP/1.1" 200 2045
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:19:55 -0500] "POST /Study_mvc/auth HTTP/1.1" 200 2045
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:20:03 -0500] "POST /Study_mvc/auth HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:20:15 -0500] "GET /Study_mvc/signup HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:20:22 -0500] "GET /Study_mvc/auth HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:20:25 -0500] "GET /Study_mvc/signup HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:20:30 -0500] "POST /Study_mvc/signup HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:20:34 -0500] "GET /Study_mvc/psignups HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:20:51 -0500] "GET /Study_mvc/deleteSignup?sid=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:20:51 -0500] "GET /Study_mvc/psignups HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:20:55 -0500] "GET /Study_mvc/deleteSignup?sid=7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:20:55 -0500] "GET /Study_mvc/psignups HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [14/Nov/2020:23:20:58 -0500] "GET /Study_mvc/auth HTTP/1.1" 200 2000
